InventoryId,Store,City,Brand,Description,Size,onHand,Price,startDate
49_Sapphire Springs_2854,49,Sapphire Springs,2854,CloudNineCafé,750mL,15,54.99,01/01/2016
49_Sapphire Springs_2880,49,Sapphire Springs,2880,MountainMist,750mL,30,15.99,01/01/2016
49_Sapphire Springs_3079,49,Sapphire Springs,3079,RadiantRhubarbRefresher,750mL,26,13.99,01/01/2016
49_Sapphire Springs_3237,49,Sapphire Springs,3237,ChilledCherryCharm,1.75L,18,23.99,01/01/2016
49_Sapphire Springs_3296,49,Sapphire Springs,3296,MysticMangoMingle,750mL,12,22.99,01/01/2016
49_Sapphire Springs_3487,49,Sapphire Springs,3487,SummerBerryBrio,750mL,29,16.99,01/01/2016
13_Harmony Bay_1896,13,Harmony Bay,1896,AlpineAloeAria,750mL,2,99.99,01/01/2016
13_Harmony Bay_2598,13,Harmony Bay,2598,TropicalTidewave,750mL,9,14.99,01/01/2016
13_Harmony Bay_2679,13,Harmony Bay,2679,OceanOpal,750mL,14,19.99,01/01/2016
13_Harmony Bay_2854,13,Harmony Bay,2854,CloudNineCafé,750mL,2,54.99,01/01/2016
13_Harmony Bay_3487,13,Harmony Bay,3487,SummerBerryBrio,750mL,10,16.99,01/01/2016
13_Harmony Bay_3917,13,Harmony Bay,3917,SparklingSiesta,50mL,4,0.99,01/01/2016
13_Harmony Bay_4246,13,Harmony Bay,4246,TranquilToffeeTwirl,375mL,27,5.49,01/01/2016
13_Harmony Bay_5124,13,Harmony Bay,5124,FrolicFrappe,1.75L,2,66.99,01/01/2016
13_Harmony Bay_5921,13,Harmony Bay,5921,SparklingSaffron,750mL,1,21.99,01/01/2016
13_Harmony Bay_6553,13,Harmony Bay,6553,PomegranatePleasure,750mL,4,11.99,01/01/2016
56_Horizonville_2598,56,Horizonville,2598,TropicalTidewave,750mL,8,14.99,01/01/2016
56_Horizonville_2679,56,Horizonville,2679,OceanOpal,750mL,19,19.99,01/01/2016
56_Horizonville_2854,56,Horizonville,2854,CloudNineCafé,750mL,8,54.99,01/01/2016
56_Horizonville_3237,56,Horizonville,3237,ChilledCherryCharm,1.75L,9,23.99,01/01/2016
56_Horizonville_3296,56,Horizonville,3296,MysticMangoMingle,750mL,5,22.99,01/01/2016
56_Horizonville_3487,56,Horizonville,3487,SummerBerryBrio,750mL,7,16.99,01/01/2016
56_Horizonville_3917,56,Horizonville,3917,SparklingSiesta,50mL,62,0.99,01/01/2016
56_Horizonville_4246,56,Horizonville,4246,TranquilToffeeTwirl,375mL,22,5.49,01/01/2016
30_Whispering Pines_3917,30,Whispering Pines,3917,SparklingSiesta,50mL,63,0.99,01/01/2016
30_Whispering Pines_4246,30,Whispering Pines,4246,TranquilToffeeTwirl,375mL,17,5.49,01/01/2016
30_Whispering Pines_5124,30,Whispering Pines,5124,FrolicFrappe,1.75L,7,66.99,01/01/2016
30_Whispering Pines_5921,30,Whispering Pines,5921,SparklingSaffron,750mL,20,21.99,01/01/2016
67_Willow Creek_8847,67,Willow Creek,8847,LuminousLagoon,750mL,10,5.99,01/01/2016
67_Willow Creek_10452,67,Willow Creek,10452,MoonlitMapleMocha,750mL,40,9.99,01/01/2016
67_Willow Creek_11213,67,Willow Creek,11213,CitrusSilk,750mL,70,18.99,01/01/2016
67_Willow Creek_11340,67,Willow Creek,11340,BlissfulBubbly,750mL,40,13.99,01/01/2016
67_Willow Creek_12324,67,Willow Creek,12324,RadiantRipple,750mL,4,28.99,01/01/2016
67_Willow Creek_13424,67,Willow Creek,13424,GingerbreadGlow,750mL,4,9.99,01/01/2016
67_Willow Creek_14383,67,Willow Creek,14383,SunlitSnowfruitSip,750mL,16,15.99,01/01/2016
67_Willow Creek_14439,67,Willow Creek,14439,LushLagoonLatte,750mL,22,4.99,01/01/2016
67_Willow Creek_14444,67,Willow Creek,14444,SummerSorbetSplash,750mL,19,25.99,01/01/2016
67_Willow Creek_15007,67,Willow Creek,15007,BubbleHarbor,750mL,18,19.99,01/01/2016
67_Willow Creek_15076,67,Willow Creek,15076,MoonlitMacchiato,750mL,29,11.99,01/01/2016
67_Willow Creek_15651,67,Willow Creek,15651,MoonlitMojito,750mL,4,13.99,01/01/2016
67_Willow Creek_16159,67,Willow Creek,16159,GlimmerQuench,750mL,50,9.99,01/01/2016
67_Willow Creek_16179,67,Willow Creek,16179,FrostedMapleMingle,750mL,11,49.99,01/01/2016
67_Willow Creek_16180,67,Willow Creek,16180,CozyCaramelCrave,750mL,18,10.99,01/01/2016
67_Willow Creek_16328,67,Willow Creek,16328,TranquilToastedTaffy,500mL,52,3.99,01/01/2016
67_Willow Creek_16380,67,Willow Creek,16380,CelestialChai,750mL,19,10.99,01/01/2016
68_Radiant Ridge_18884,68,Radiant Ridge,18884,VanillaVelour,750mL,14,15.99,01/01/2016
68_Radiant Ridge_19055,68,Radiant Ridge,19055,VelvetVista,750mL,9,9.99,01/01/2016
68_Radiant Ridge_19175,68,Radiant Ridge,19175,StarrySipAmericano,750mL,61,11.99,01/01/2016
68_Radiant Ridge_19507,68,Radiant Ridge,19507,VelvetFizz,750mL,14,7.99,01/01/2016
68_Radiant Ridge_19549,68,Radiant Ridge,19549,FrostedFable,3L,3,14.99,01/01/2016
68_Radiant Ridge_22835,68,Radiant Ridge,22835,QuenchFusion,750mL,12,14.99,01/01/2016
68_Radiant Ridge_23633,68,Radiant Ridge,23633,CinnamonSizzle,750mL,2,14.99,01/01/2016
68_Radiant Ridge_24002,68,Radiant Ridge,24002,EnchantedElderflowerElixir,1.5L,11,8.99,01/01/2016
68_Radiant Ridge_24094,68,Radiant Ridge,24094,CitrusSilhouette,1.5L,12,6.99,01/01/2016
68_Radiant Ridge_24310,68,Radiant Ridge,24310,ZestSplash,750mL,11,12.99,01/01/2016
68_Radiant Ridge_24557,68,Radiant Ridge,24557,EnchantedEucalyptusElixir,750mL,1,12.99,01/01/2016
68_Radiant Ridge_24673,68,Radiant Ridge,24673,ZenBrew,1.5L,5,15.99,01/01/2016
68_Radiant Ridge_25159,68,Radiant Ridge,25159,Peaches-n-Dream,750mL,10,11.99,01/01/2016
68_Radiant Ridge_27644,68,Radiant Ridge,27644,EnchantedIced,750mL,26,9.99,01/01/2016
68_Radiant Ridge_28983,68,Radiant Ridge,28983,TranquilTurmericTonic,750mL,11,14.99,01/01/2016
68_Radiant Ridge_29407,68,Radiant Ridge,29407,WildWisteriaWhirl,750mL,43,15.99,01/01/2016
68_Radiant Ridge_29996,68,Radiant Ridge,29996,WhisperQuencher,750mL,66,16.99,01/01/2016
21_Moonstone_33683,21,Moonstone,33683,FrothEuphoria,1.5L,7,20.99,01/01/2016
21_Moonstone_35862,21,Moonstone,35862,SunburstSip,750mL,10,19.99,01/01/2016
21_Moonstone_37731,21,Moonstone,37731,CosmicCider,3L,8,10.99,01/01/2016
21_Moonstone_41212,21,Moonstone,41212,SparkleBliss,750mL,21,15.99,01/01/2016
21_Moonstone_44854,21,Moonstone,44854,ChocoMintMystique,750mL,13,51.99,01/01/2016
22_Stonebridge_1022,22,Stonebridge,1022,FrostedFudgeFantasia,750mL,10,13.99,01/01/2016
22_Stonebridge_1094,22,Stonebridge,1094,TranquilBrew,750mL,3,41.99,01/01/2016
22_Stonebridge_1397,22,Stonebridge,1397,BlueberryBrew,750mL,16,13.99,01/01/2016
22_Stonebridge_1692,22,Stonebridge,1692,FrothyForestFable,750mL,6,18.49,01/01/2016
22_Stonebridge_1896,22,Stonebridge,1896,AlpineAloeAria,750mL,6,99.99,01/01/2016
22_Stonebridge_2181,22,Stonebridge,2181,RadiantRaspberryRipple,50mL,1,0.99,01/01/2016
66_Brookside_5921,66,Brookside,5921,SparklingSaffron,750mL,10,21.99,01/01/2016
66_Brookside_6553,66,Brookside,6553,PomegranatePleasure,750mL,47,11.99,01/01/2016
66_Brookside_7725,66,Brookside,7725,MidnightMangoMist,750mL,61,9.99,01/01/2016
66_Brookside_8102,66,Brookside,8102,MidnightMochaMist,1.75L,100,24.99,01/01/2016
66_Brookside_8370,66,Brookside,8370,LavenderLullaby,1.75L,17,10.99,01/01/2016
66_Brookside_8847,66,Brookside,8847,LuminousLagoon,750mL,3,5.99,01/01/2016
66_Brookside_11213,66,Brookside,11213,CitrusSilk,750mL,0,18.99,01/01/2016
69_Serene Sands_25005,69,Serene Sands,25005,VelvetVioletVapor,750mL,6,17.99,01/01/2016
69_Serene Sands_25070,69,Serene Sands,25070,EmeraldElixir,750mL,4,34.99,01/01/2016
69_Serene Sands_25154,69,Serene Sands,25154,VanillaVelvetVortex,750mL,12,24.99,01/01/2016
69_Serene Sands_25159,69,Serene Sands,25159,Peaches-n-Dream,750mL,21,11.99,01/01/2016
69_Serene Sands_26876,69,Serene Sands,26876,FrothyFigFantasy,750mL,36,79.99,01/01/2016
69_Serene Sands_27644,69,Serene Sands,27644,EnchantedIced,750mL,32,9.99,01/01/2016
69_Serene Sands_28983,69,Serene Sands,28983,TranquilTurmericTonic,750mL,27,14.99,01/01/2016
69_Serene Sands_29407,69,Serene Sands,29407,WildWisteriaWhirl,750mL,105,15.99,01/01/2016
69_Serene Sands_29996,69,Serene Sands,29996,WhisperQuencher,750mL,107,16.99,01/01/2016
69_Serene Sands_31541,69,Serene Sands,31541,OasisWhirl,750mL,74,20.99,01/01/2016
69_Serene Sands_32604,69,Serene Sands,32604,CarnivalChill,750mL,22,9.95,01/01/2016
69_Serene Sands_33683,69,Serene Sands,33683,FrothEuphoria,1.5L,9,20.99,01/01/2016
69_Serene Sands_34020,69,Serene Sands,34020,AuroraZest,750mL,19,19.99,01/01/2016
69_Serene Sands_35862,69,Serene Sands,35862,SunburstSip,750mL,90,19.99,01/01/2016
69_Serene Sands_37731,69,Serene Sands,37731,CosmicCider,3L,16,10.99,01/01/2016
9_Eldermere_5124,9,Eldermere,5124,FrolicFrappe,1.75L,8,66.99,01/01/2016
9_Eldermere_5921,9,Eldermere,5921,SparklingSaffron,750mL,7,21.99,01/01/2016
9_Eldermere_6553,9,Eldermere,6553,PomegranatePleasure,750mL,17,11.99,01/01/2016
9_Eldermere_8102,9,Eldermere,8102,MidnightMochaMist,1.75L,26,24.99,01/01/2016
9_Eldermere_8370,9,Eldermere,8370,LavenderLullaby,1.75L,16,10.99,01/01/2016
9_Eldermere_8847,9,Eldermere,8847,LuminousLagoon,750mL,22,5.99,01/01/2016
9_Eldermere_8907,9,Eldermere,8907,RadiantRainforestRipple,1.5L,7,6.99,01/01/2016
35_Moonlight Cove_1094,35,Moonlight Cove,1094,TranquilBrew,750mL,8,41.99,01/01/2016
35_Moonlight Cove_1397,35,Moonlight Cove,1397,BlueberryBrew,750mL,3,13.99,01/01/2016
35_Moonlight Cove_1692,35,Moonlight Cove,1692,FrothyForestFable,750mL,12,18.49,01/01/2016
35_Moonlight Cove_1896,35,Moonlight Cove,1896,AlpineAloeAria,750mL,1,99.99,01/01/2016
35_Moonlight Cove_2598,35,Moonlight Cove,2598,TropicalTidewave,750mL,11,14.99,01/01/2016
35_Moonlight Cove_2679,35,Moonlight Cove,2679,OceanOpal,750mL,8,19.99,01/01/2016
35_Moonlight Cove_2854,35,Moonlight Cove,2854,CloudNineCafé,750mL,3,54.99,01/01/2016
35_Moonlight Cove_3237,35,Moonlight Cove,3237,ChilledCherryCharm,1.75L,2,23.99,01/01/2016
35_Moonlight Cove_3487,35,Moonlight Cove,3487,SummerBerryBrio,750mL,6,16.99,01/01/2016
35_Moonlight Cove_3917,35,Moonlight Cove,3917,SparklingSiesta,50mL,162,0.99,01/01/2016
35_Moonlight Cove_4246,35,Moonlight Cove,4246,TranquilToffeeTwirl,375mL,30,5.49,01/01/2016
35_Moonlight Cove_5124,35,Moonlight Cove,5124,FrolicFrappe,1.75L,4,66.99,01/01/2016
5_Rosewood_11213,5,Rosewood,11213,CitrusSilk,750mL,9,18.99,01/01/2016
5_Rosewood_14439,5,Rosewood,14439,LushLagoonLatte,750mL,20,4.99,01/01/2016
5_Rosewood_16180,5,Rosewood,16180,CozyCaramelCrave,750mL,14,10.99,01/01/2016
5_Rosewood_16328,5,Rosewood,16328,TranquilToastedTaffy,500mL,6,3.99,01/01/2016
5_Rosewood_19055,5,Rosewood,19055,VelvetVista,750mL,3,9.99,01/01/2016
5_Rosewood_24002,5,Rosewood,24002,EnchantedElderflowerElixir,1.5L,6,8.99,01/01/2016
5_Rosewood_33683,5,Rosewood,33683,FrothEuphoria,1.5L,4,20.99,01/01/2016
5_Rosewood_37731,5,Rosewood,37731,CosmicCider,3L,9,10.99,01/01/2016
5_Rosewood_40175,5,Rosewood,40175,SunburstSorbet,187mL 4 Pk,1,11.99,01/01/2016
5_Rosewood_41212,5,Rosewood,41212,SparkleBliss,750mL,5,15.99,01/01/2016
6_Echo Harbor_804,6,Echo Harbor,804,TwilightTingle,Liter,2,15.49,01/01/2016
6_Echo Harbor_1397,6,Echo Harbor,1397,BlueberryBrew,750mL,29,13.99,01/01/2016
41_Twilight Harbor_31541,41,Twilight Harbor,31541,OasisWhirl,750mL,0,20.99,01/01/2016
41_Twilight Harbor_33683,41,Twilight Harbor,33683,FrothEuphoria,1.5L,6,20.99,01/01/2016
41_Twilight Harbor_37731,41,Twilight Harbor,37731,CosmicCider,3L,0,10.99,01/01/2016
41_Twilight Harbor_41212,41,Twilight Harbor,41212,SparkleBliss,750mL,5,15.99,01/01/2016
42_Pine Ridge_1094,42,Pine Ridge,1094,TranquilBrew,750mL,4,41.99,01/01/2016
42_Pine Ridge_1397,42,Pine Ridge,1397,BlueberryBrew,750mL,14,13.99,01/01/2016
42_Pine Ridge_1692,42,Pine Ridge,1692,FrothyForestFable,750mL,12,18.49,01/01/2016
42_Pine Ridge_1896,42,Pine Ridge,1896,AlpineAloeAria,750mL,3,99.99,01/01/2016
42_Pine Ridge_2598,42,Pine Ridge,2598,TropicalTidewave,750mL,12,14.99,01/01/2016
33_Crestwood_8847,33,Crestwood,8847,LuminousLagoon,750mL,35,5.99,01/01/2016
33_Crestwood_11213,33,Crestwood,11213,CitrusSilk,750mL,26,18.99,01/01/2016
33_Crestwood_11340,33,Crestwood,11340,BlissfulBubbly,750mL,16,13.99,01/01/2016
33_Crestwood_14383,33,Crestwood,14383,SunlitSnowfruitSip,750mL,8,15.99,01/01/2016
33_Crestwood_14439,33,Crestwood,14439,LushLagoonLatte,750mL,13,4.99,01/01/2016
33_Crestwood_15007,33,Crestwood,15007,BubbleHarbor,750mL,13,19.99,01/01/2016
33_Crestwood_16159,33,Crestwood,16159,GlimmerQuench,750mL,12,9.99,01/01/2016
33_Crestwood_16180,33,Crestwood,16180,CozyCaramelCrave,750mL,14,10.99,01/01/2016
33_Crestwood_16328,33,Crestwood,16328,TranquilToastedTaffy,500mL,21,3.99,01/01/2016
33_Crestwood_17100,33,Crestwood,17100,SipSerenity,750mL,8,7.99,01/01/2016
33_Crestwood_17487,33,Crestwood,17487,CelestialSwell,750mL,8,6.99,01/01/2016
45_Willow Lake_8102,45,Willow Lake,8102,MidnightMochaMist,1.75L,11,24.99,01/01/2016
45_Willow Lake_8370,45,Willow Lake,8370,LavenderLullaby,1.75L,11,10.99,01/01/2016
45_Willow Lake_8907,45,Willow Lake,8907,RadiantRainforestRipple,1.5L,8,6.99,01/01/2016
