InventoryId,Store,Brand,Description,Size,VendorNumber,VendorName,PONumber,PODate,ReceivingDate,InvoiceDate,PayDate,PurchasePrice,Quantity,Dollars,Classification
38_Willowfield_4246,38,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8433,12/01/2016,20/01/2016,29/01/2016,10/03/2016,4.22,24,101.28,1
79_Starlight Bluff_4246,79,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8433,12/01/2016,21/01/2016,29/01/2016,10/03/2016,4.22,24,101.28,1
61_Crystal Bay_4246,61,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8433,12/01/2016,22/01/2016,29/01/2016,10/03/2016,4.22,23,97.06,1
40_Aurora Bluff_24002,40,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8455,12/01/2016,19/01/2016,27/01/2016,12/03/2016,4.63,5,23.15,2
16_Oakridge_24002,16,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8455,12/01/2016,22/01/2016,27/01/2016,12/03/2016,4.63,5,23.15,2
75_Tranquilton_24002,75,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8455,12/01/2016,21/01/2016,27/01/2016,12/03/2016,4.63,4,18.52,2
39_Tranquil Haven_24002,39,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8455,12/01/2016,21/01/2016,27/01/2016,12/03/2016,4.63,12,55.56,2
13_Harmony Bay_37731,13,37731,CosmicCider,3L,9815,FrothFiesta Flavors,8455,12/01/2016,20/01/2016,27/01/2016,12/03/2016,6.7,5,33.5,2
25_Crystal Falls_24002,25,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8455,12/01/2016,20/01/2016,27/01/2016,12/03/2016,4.63,6,27.78,2
14_Rivertowne_24002,14,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8455,12/01/2016,20/01/2016,27/01/2016,12/03/2016,4.63,4,18.52,2
68_Radiant Ridge_24002,68,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8455,12/01/2016,19/01/2016,27/01/2016,12/03/2016,4.63,12,55.56,2
14_Rivertowne_24002,14,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8455,12/01/2016,18/01/2016,27/01/2016,12/03/2016,4.63,4,18.52,2
9_Eldermere_37731,9,37731,CosmicCider,3L,9815,FrothFiesta Flavors,8455,12/01/2016,18/01/2016,27/01/2016,12/03/2016,6.7,6,40.2,2
73_Cypress Springs_4246,73,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8548,20/01/2016,26/01/2016,02/02/2016,19/03/2016,4.22,24,101.28,1
5_Rosewood_4246,5,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8548,20/01/2016,29/01/2016,02/02/2016,19/03/2016,4.22,24,101.28,1
76_Sapphire Shores_11213,76,11213,CitrusSilk,750mL,1392,ZestZing Beverage Co.,8252,30/12/2015,04/01/2016,12/01/2016,11/02/2016,12.66,24,303.84,2
11_Eldertown_11213,11,11213,CitrusSilk,750mL,1392,ZestZing Beverage Co.,8252,30/12/2015,05/01/2016,12/01/2016,11/02/2016,12.66,12,151.92,2
43_Mystic Hollow_16328,43,16328,TranquilToastedTaffy,500mL,1392,ZestZing Beverage Co.,8252,30/12/2015,06/01/2016,12/01/2016,11/02/2016,2.75,12,33,2
61_Crystal Bay_16328,61,16328,TranquilToastedTaffy,500mL,1392,ZestZing Beverage Co.,8252,30/12/2015,04/01/2016,12/01/2016,11/02/2016,2.75,12,33,2
60_Velvetville_11213,60,11213,CitrusSilk,750mL,1392,ZestZing Beverage Co.,8252,30/12/2015,04/01/2016,12/01/2016,11/02/2016,12.66,11,139.26,2
14_Rivertowne_3237,14,3237,ChilledCherryCharm,1.75L,8004,BreezeBrew Distributors,8611,24/01/2016,01/02/2016,10/02/2016,18/03/2016,18.17,6,109.02,1
10_Willowville_3237,10,3237,ChilledCherryCharm,1.75L,8004,BreezeBrew Distributors,8611,24/01/2016,03/02/2016,10/02/2016,18/03/2016,18.17,6,109.02,1
15_Meadowhaven_3237,15,3237,ChilledCherryCharm,1.75L,8004,BreezeBrew Distributors,8611,24/01/2016,04/02/2016,10/02/2016,18/03/2016,18.17,4,72.68,1
30_Whispering Pines_2598,30,2598,TropicalTidewave,750mL,8004,BreezeBrew Distributors,8611,24/01/2016,04/02/2016,10/02/2016,18/03/2016,11.44,11,125.84,1
61_Crystal Bay_3237,61,3237,ChilledCherryCharm,1.75L,8004,BreezeBrew Distributors,8611,24/01/2016,03/02/2016,10/02/2016,18/03/2016,18.17,6,109.02,1
75_Tranquilton_2598,75,2598,TropicalTidewave,750mL,8004,BreezeBrew Distributors,8611,24/01/2016,02/02/2016,10/02/2016,18/03/2016,11.44,11,125.84,1
13_Harmony Bay_2598,13,2598,TropicalTidewave,750mL,8004,BreezeBrew Distributors,8611,24/01/2016,03/02/2016,10/02/2016,18/03/2016,11.44,12,137.28,1
9_Eldermere_16328,9,16328,TranquilToastedTaffy,500mL,1392,ZestZing Beverage Co.,8360,06/01/2016,13/01/2016,21/01/2016,25/02/2016,2.75,12,33,2
40_Aurora Bluff_16328,40,16328,TranquilToastedTaffy,500mL,1392,ZestZing Beverage Co.,8360,06/01/2016,12/01/2016,21/01/2016,25/02/2016,2.75,12,33,2
63_Moonlit Meadow_33683,63,33683,FrothEuphoria,1.5L,1392,ZestZing Beverage Co.,8360,06/01/2016,12/01/2016,21/01/2016,25/02/2016,10.38,6,62.28,2
34_Phoenixville_16328,34,16328,TranquilToastedTaffy,500mL,1392,ZestZing Beverage Co.,8360,06/01/2016,13/01/2016,21/01/2016,25/02/2016,2.75,12,33,2
69_Serene Sands_33683,69,33683,FrothEuphoria,1.5L,1392,ZestZing Beverage Co.,8360,06/01/2016,15/01/2016,21/01/2016,25/02/2016,10.38,6,62.28,2
14_Rivertowne_33683,14,33683,FrothEuphoria,1.5L,1392,ZestZing Beverage Co.,8360,06/01/2016,13/01/2016,21/01/2016,25/02/2016,10.38,4,41.52,2
31_Maplewood_29407,31,29407,WildWisteriaWhirl,750mL,1392,ZestZing Beverage Co.,8360,06/01/2016,14/01/2016,21/01/2016,25/02/2016,10.33,3,30.99,2
10_Willowville_27644,10,27644,EnchantedIced,750mL,4425,QuenchQuest Beverages,8331,04/01/2016,12/01/2016,26/01/2016,28/02/2016,6.84,12,82.08,2
76_Sapphire Shores_27644,76,27644,EnchantedIced,750mL,4425,QuenchQuest Beverages,8331,04/01/2016,12/01/2016,26/01/2016,28/02/2016,6.84,10,68.4,2
75_Tranquilton_27644,75,27644,EnchantedIced,750mL,4425,QuenchQuest Beverages,8331,04/01/2016,14/01/2016,26/01/2016,28/02/2016,6.84,12,82.08,2
38_Willowfield_5921,38,5921,SparklingSaffron,750mL,6213,SparkleSplash Suppliers,8144,22/12/2015,01/01/2016,09/01/2016,04/02/2016,14.81,6,88.86,1
1_Havenbrook_5921,1,5921,SparklingSaffron,750mL,6213,SparkleSplash Suppliers,8144,22/12/2015,01/01/2016,09/01/2016,04/02/2016,14.81,12,177.72,1
15_Meadowhaven_5921,15,5921,SparklingSaffron,750mL,6213,SparkleSplash Suppliers,8144,22/12/2015,01/01/2016,09/01/2016,04/02/2016,14.81,6,88.86,1
50_Willowgate_5921,50,5921,SparklingSaffron,750mL,6213,SparkleSplash Suppliers,8144,22/12/2015,02/01/2016,09/01/2016,04/02/2016,14.81,3,44.43,1
69_Serene Sands_5921,69,5921,SparklingSaffron,750mL,6213,SparkleSplash Suppliers,8144,22/12/2015,02/01/2016,09/01/2016,04/02/2016,14.81,11,162.91,1
52_Starfall_5921,52,5921,SparklingSaffron,750mL,6213,SparkleSplash Suppliers,8144,22/12/2015,02/01/2016,09/01/2016,04/02/2016,14.81,6,88.86,1
15_Meadowhaven_3296,15,3296,MysticMangoMingle,750mL,8112,VelvetVibe Drinks,8180,24/12/2015,01/01/2016,08/01/2016,06/02/2016,15.99,12,191.88,1
66_Brookside_19055,66,19055,VelvetVista,750mL,9819,ChillChalice Chasers,8282,31/12/2015,06/01/2016,16/01/2016,22/02/2016,6.75,12,81,2
50_Willowgate_19055,50,19055,VelvetVista,750mL,9819,ChillChalice Chasers,8282,31/12/2015,05/01/2016,16/01/2016,22/02/2016,6.75,12,81,2
6_Echo Harbor_24002,6,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8401,08/01/2016,12/01/2016,19/01/2016,03/03/2016,4.63,6,27.78,2
62_Amberford_24002,62,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8401,08/01/2016,13/01/2016,19/01/2016,03/03/2016,4.63,5,23.15,2
6_Echo Harbor_24002,6,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8401,08/01/2016,15/01/2016,19/01/2016,03/03/2016,4.63,4,18.52,2
77_Willowmere_24002,77,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8401,08/01/2016,12/01/2016,19/01/2016,03/03/2016,4.63,6,27.78,2
25_Crystal Falls_24002,25,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8401,08/01/2016,15/01/2016,19/01/2016,03/03/2016,4.63,6,27.78,2
48_Meadowbrook_24002,48,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8401,08/01/2016,14/01/2016,19/01/2016,03/03/2016,4.63,6,27.78,2
17_Sunnyside_37731,17,37731,CosmicCider,3L,9815,FrothFiesta Flavors,8401,08/01/2016,12/01/2016,19/01/2016,03/03/2016,6.7,6,40.2,2
5_Rosewood_24002,5,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8401,08/01/2016,15/01/2016,19/01/2016,03/03/2016,4.63,6,27.78,2
63_Moonlit Meadow_37731,63,37731,CosmicCider,3L,9815,FrothFiesta Flavors,8401,08/01/2016,12/01/2016,19/01/2016,03/03/2016,6.7,6,40.2,2
9_Eldermere_24002,9,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8401,08/01/2016,11/01/2016,19/01/2016,03/03/2016,4.63,10,46.3,2
55_Skyview_37731,55,37731,CosmicCider,3L,9815,FrothFiesta Flavors,8401,08/01/2016,13/01/2016,19/01/2016,03/03/2016,6.7,5,33.5,2
41_Twilight Harbor_37731,41,37731,CosmicCider,3L,9815,FrothFiesta Flavors,8401,08/01/2016,12/01/2016,19/01/2016,03/03/2016,6.7,6,40.2,2
25_Crystal Falls_24002,25,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8401,08/01/2016,11/01/2016,19/01/2016,03/03/2016,4.63,6,27.78,2
60_Velvetville_24002,60,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8401,08/01/2016,15/01/2016,19/01/2016,03/03/2016,4.63,6,27.78,2
10_Willowville_24002,10,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8401,08/01/2016,12/01/2016,19/01/2016,03/03/2016,4.63,3,13.89,2
42_Pine Ridge_37731,42,37731,CosmicCider,3L,9815,FrothFiesta Flavors,8401,08/01/2016,14/01/2016,19/01/2016,03/03/2016,6.7,6,40.2,2
61_Crystal Bay_24002,61,24002,EnchantedElderflowerElixir,1.5L,9815,FrothFiesta Flavors,8401,08/01/2016,13/01/2016,19/01/2016,03/03/2016,4.63,5,23.15,2
73_Cypress Springs_2880,73,2880,MountainMist,750mL,9625,DreamyDrinks Depot,8232,28/12/2015,04/01/2016,11/01/2016,15/02/2016,11.02,29,319.58,1
7_Misty Hollow_2880,7,2880,MountainMist,750mL,9625,DreamyDrinks Depot,8232,28/12/2015,05/01/2016,11/01/2016,15/02/2016,11.02,12,132.24,1
66_Brookside_2880,66,2880,MountainMist,750mL,9625,DreamyDrinks Depot,8232,28/12/2015,04/01/2016,11/01/2016,15/02/2016,11.02,30,330.6,1
77_Willowmere_24094,77,24094,CitrusSilhouette,1.5L,3252,BrewBliss Beverages,8238,29/12/2015,05/01/2016,18/01/2016,14/02/2016,4.57,5,22.85,2
71_Emberfield_14439,71,14439,LushLagoonLatte,750mL,3252,BrewBliss Beverages,8238,29/12/2015,04/01/2016,18/01/2016,14/02/2016,3.42,12,41.04,2
76_Sapphire Shores_35862,76,35862,SunburstSip,750mL,3252,BrewBliss Beverages,8238,29/12/2015,08/01/2016,18/01/2016,14/02/2016,13.6,11,149.6,2
17_Sunnyside_14439,17,14439,LushLagoonLatte,750mL,3252,BrewBliss Beverages,8238,29/12/2015,05/01/2016,18/01/2016,14/02/2016,3.42,12,41.04,2
9_Eldermere_8907,9,8907,RadiantRainforestRipple,1.5L,3252,BrewBliss Beverages,8238,29/12/2015,06/01/2016,18/01/2016,14/02/2016,4.63,6,27.78,2
31_Maplewood_8907,31,8907,RadiantRainforestRipple,1.5L,3252,BrewBliss Beverages,8238,29/12/2015,07/01/2016,18/01/2016,14/02/2016,4.63,6,27.78,2
10_Willowville_8102,10,8102,MidnightMochaMist,1.75L,17035,OasisOpulence Beverages,8315,03/01/2016,12/01/2016,25/01/2016,25/02/2016,18.65,5,93.25,1
58_Frostwood_8102,58,8102,MidnightMochaMist,1.75L,17035,OasisOpulence Beverages,8315,03/01/2016,12/01/2016,25/01/2016,25/02/2016,18.65,6,111.9,1
62_Amberford_8102,62,8102,MidnightMochaMist,1.75L,17035,OasisOpulence Beverages,8315,03/01/2016,11/01/2016,25/01/2016,25/02/2016,18.65,6,111.9,1
40_Aurora Bluff_1896,40,1896,AlpineAloeAria,750mL,17035,OasisOpulence Beverages,8315,03/01/2016,14/01/2016,25/01/2016,25/02/2016,68.83,6,412.98,1
14_Rivertowne_8102,14,8102,MidnightMochaMist,1.75L,17035,OasisOpulence Beverages,8315,03/01/2016,15/01/2016,25/01/2016,25/02/2016,18.65,1,18.65,1
13_Harmony Bay_8370,13,8370,LavenderLullaby,1.75L,660,ZenZest Tea Traders,8259,30/12/2015,06/01/2016,18/01/2016,26/02/2016,5.71,6,34.26,1
48_Meadowbrook_8370,48,8370,LavenderLullaby,1.75L,660,ZenZest Tea Traders,8259,30/12/2015,07/01/2016,18/01/2016,26/02/2016,5.71,6,34.26,1
49_Sapphire Springs_8370,49,8370,LavenderLullaby,1.75L,660,ZenZest Tea Traders,8259,30/12/2015,08/01/2016,18/01/2016,26/02/2016,5.71,6,34.26,1
38_Willowfield_8370,38,8370,LavenderLullaby,1.75L,660,ZenZest Tea Traders,8259,30/12/2015,05/01/2016,18/01/2016,26/02/2016,5.71,6,34.26,1
27_Starling City_16180,27,16180,CozyCaramelCrave,750mL,12546,GlimmerGulp Merchants,8241,29/12/2015,05/01/2016,16/01/2016,15/02/2016,6.84,12,82.08,2
34_Phoenixville_6553,34,6553,PomegranatePleasure,750mL,12546,GlimmerGulp Merchants,8241,29/12/2015,08/01/2016,16/01/2016,15/02/2016,7.74,12,92.88,2
49_Sapphire Springs_1397,49,1397,BlueberryBrew,750mL,12546,GlimmerGulp Merchants,8241,29/12/2015,04/01/2016,16/01/2016,15/02/2016,10.76,48,516.48,1
68_Radiant Ridge_1397,68,1397,BlueberryBrew,750mL,12546,GlimmerGulp Merchants,8241,29/12/2015,05/01/2016,16/01/2016,15/02/2016,10.76,12,129.12,1
33_Crestwood_1397,33,1397,BlueberryBrew,750mL,12546,GlimmerGulp Merchants,8241,29/12/2015,07/01/2016,16/01/2016,15/02/2016,10.76,36,387.36,1
41_Twilight Harbor_33683,41,33683,FrothEuphoria,1.5L,1392,ZestZing Beverage Co.,8691,29/01/2016,03/02/2016,13/02/2016,16/03/2016,10.38,6,62.28,2
69_Serene Sands_11213,69,11213,CitrusSilk,750mL,1392,ZestZing Beverage Co.,8691,29/01/2016,01/02/2016,13/02/2016,16/03/2016,12.66,60,759.6,2
71_Emberfield_33683,71,33683,FrothEuphoria,1.5L,1392,ZestZing Beverage Co.,8691,29/01/2016,02/02/2016,13/02/2016,16/03/2016,10.38,6,62.28,2
66_Brookside_16328,66,16328,TranquilToastedTaffy,500mL,1392,ZestZing Beverage Co.,8691,29/01/2016,02/02/2016,13/02/2016,16/03/2016,2.75,8,22,2
34_Phoenixville_8847,34,8847,LuminousLagoon,750mL,1392,ZestZing Beverage Co.,8691,29/01/2016,02/02/2016,13/02/2016,16/03/2016,3.97,12,47.64,2
69_Serene Sands_22008,69,22008,BlossomBreezeBrew,750mL,9552,MistyMix Distributors,8345,05/01/2016,11/01/2016,19/01/2016,02/03/2016,8.78,12,105.36,2
23_Willowbrook_33035,23,33035,MapleMystique,750mL,9552,MistyMix Distributors,8345,05/01/2016,14/01/2016,19/01/2016,02/03/2016,5.88,12,70.56,2
50_Willowgate_1094,50,1094,TranquilBrew,750mL,9552,MistyMix Distributors,8345,05/01/2016,14/01/2016,19/01/2016,02/03/2016,29.92,6,179.52,1
76_Sapphire Shores_33035,76,33035,MapleMystique,750mL,9552,MistyMix Distributors,8345,05/01/2016,14/01/2016,19/01/2016,02/03/2016,5.88,12,70.56,2
34_Phoenixville_1094,34,1094,TranquilBrew,750mL,9552,MistyMix Distributors,8345,05/01/2016,13/01/2016,19/01/2016,02/03/2016,29.92,5,149.6,1
33_Crestwood_1094,33,1094,TranquilBrew,750mL,9552,MistyMix Distributors,8345,05/01/2016,14/01/2016,19/01/2016,02/03/2016,29.92,6,179.52,1
47_Crystal Haven_27644,47,27644,EnchantedIced,750mL,4425,QuenchQuest Beverages,8426,11/01/2016,22/01/2016,25/01/2016,13/03/2016,6.84,20,136.8,2
50_Willowgate_18884,50,18884,VanillaVelour,750mL,4425,QuenchQuest Beverages,8426,11/01/2016,18/01/2016,25/01/2016,13/03/2016,9.67,12,116.04,2
58_Frostwood_27644,58,27644,EnchantedIced,750mL,4425,QuenchQuest Beverages,8426,11/01/2016,21/01/2016,25/01/2016,13/03/2016,6.84,11,75.24,2
66_Brookside_27644,66,27644,EnchantedIced,750mL,4425,QuenchQuest Beverages,8426,11/01/2016,18/01/2016,25/01/2016,13/03/2016,6.84,11,75.24,2
27_Starling City_27644,27,27644,EnchantedIced,750mL,4425,QuenchQuest Beverages,8426,11/01/2016,21/01/2016,25/01/2016,13/03/2016,6.84,12,82.08,2
71_Emberfield_3237,71,3237,ChilledCherryCharm,1.75L,8004,BreezeBrew Distributors,8561,20/01/2016,28/01/2016,01/02/2016,15/03/2016,18.17,6,109.02,1
31_Maplewood_8370,31,8370,LavenderLullaby,1.75L,660,ZenZest Tea Traders,8562,20/01/2016,28/01/2016,01/02/2016,16/03/2016,5.71,5,28.55,1
60_Velvetville_8370,60,8370,LavenderLullaby,1.75L,660,ZenZest Tea Traders,8562,20/01/2016,29/01/2016,01/02/2016,16/03/2016,5.71,6,34.26,1
75_Tranquilton_8370,75,8370,LavenderLullaby,1.75L,660,ZenZest Tea Traders,8562,20/01/2016,28/01/2016,01/02/2016,16/03/2016,5.71,6,34.26,1
21_Moonstone_8370,21,8370,LavenderLullaby,1.75L,660,ZenZest Tea Traders,8562,20/01/2016,26/01/2016,01/02/2016,16/03/2016,5.71,6,34.26,1
74_Velvet Vista_8370,74,8370,LavenderLullaby,1.75L,660,ZenZest Tea Traders,8562,20/01/2016,27/01/2016,01/02/2016,16/03/2016,5.71,6,34.26,1
1_Havenbrook_27644,1,27644,EnchantedIced,750mL,4425,QuenchQuest Beverages,8276,31/12/2015,08/01/2016,18/01/2016,28/02/2016,6.84,10,68.4,2
79_Starlight Bluff_31541,79,31541,OasisWhirl,750mL,10754,RadiantRefresh Imports,8298,01/01/2016,09/01/2016,15/01/2016,16/02/2016,13.15,24,315.6,2
25_Crystal Falls_13122,25,13122,LavenderLatte,750mL,9552,MistyMix Distributors,8462,13/01/2016,18/01/2016,30/01/2016,08/03/2016,9.52,12,114.24,2
69_Serene Sands_11213,69,11213,CitrusSilk,750mL,1392,ZestZing Beverage Co.,8108,20/12/2015,02/01/2016,11/01/2016,10/02/2016,12.66,8,101.28,2
1_Havenbrook_11213,1,11213,CitrusSilk,750mL,1392,ZestZing Beverage Co.,8108,20/12/2015,01/01/2016,11/01/2016,10/02/2016,12.66,36,455.76,2
76_Sapphire Shores_16328,76,16328,TranquilToastedTaffy,500mL,1392,ZestZing Beverage Co.,8108,20/12/2015,02/01/2016,11/01/2016,10/02/2016,2.75,11,30.25,2
47_Crystal Haven_29996,47,29996,WhisperQuencher,750mL,1392,ZestZing Beverage Co.,8108,20/12/2015,02/01/2016,11/01/2016,10/02/2016,10.12,12,121.44,2
47_Crystal Haven_11213,47,11213,CitrusSilk,750mL,1392,ZestZing Beverage Co.,8108,20/12/2015,02/01/2016,11/01/2016,10/02/2016,12.66,10,126.6,2
50_Willowgate_11213,50,11213,CitrusSilk,750mL,1392,ZestZing Beverage Co.,8108,20/12/2015,02/01/2016,11/01/2016,10/02/2016,12.66,11,139.26,2
37_Emberford_33683,37,33683,FrothEuphoria,1.5L,1392,ZestZing Beverage Co.,8108,20/12/2015,02/01/2016,11/01/2016,10/02/2016,10.38,6,62.28,2
54_Cascade City_8847,54,8847,LuminousLagoon,750mL,1392,ZestZing Beverage Co.,8108,20/12/2015,02/01/2016,11/01/2016,10/02/2016,3.97,12,47.64,2
34_Phoenixville_16328,34,16328,TranquilToastedTaffy,500mL,1392,ZestZing Beverage Co.,8691,29/01/2016,02/02/2016,13/02/2016,16/03/2016,2.75,4,11,2
14_Rivertowne_2598,14,2598,TropicalTidewave,750mL,8004,BreezeBrew Distributors,8611,24/01/2016,03/02/2016,10/02/2016,18/03/2016,11.44,12,137.28,1
32_Oceanview_3237,32,3237,ChilledCherryCharm,1.75L,8004,BreezeBrew Distributors,8366,06/01/2016,12/01/2016,24/01/2016,22/02/2016,18.17,6,109.02,1
52_Starfall_4246,52,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8308,03/01/2016,15/01/2016,22/01/2016,26/02/2016,4.22,24,101.28,1
29_Golden Hills_4246,29,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8308,03/01/2016,15/01/2016,22/01/2016,26/02/2016,4.22,24,101.28,1
9_Eldermere_4246,9,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8308,03/01/2016,11/01/2016,22/01/2016,26/02/2016,4.22,23,97.06,1
27_Starling City_4246,27,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8308,03/01/2016,14/01/2016,22/01/2016,26/02/2016,4.22,23,97.06,1
13_Harmony Bay_4246,13,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8308,03/01/2016,13/01/2016,22/01/2016,26/02/2016,4.22,24,101.28,1
68_Radiant Ridge_4246,68,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8308,03/01/2016,15/01/2016,22/01/2016,26/02/2016,4.22,24,101.28,1
10_Willowville_40175,10,40175,SunburstSorbet,187mL 4 Pk,480,SipSerenity Supplies,8308,03/01/2016,13/01/2016,22/01/2016,26/02/2016,8.21,6,49.26,2
29_Golden Hills_40175,29,40175,SunburstSorbet,187mL 4 Pk,480,SipSerenity Supplies,8308,03/01/2016,15/01/2016,22/01/2016,26/02/2016,8.21,6,49.26,2
61_Crystal Bay_40175,61,40175,SunburstSorbet,187mL 4 Pk,480,SipSerenity Supplies,8308,03/01/2016,13/01/2016,22/01/2016,26/02/2016,8.21,12,98.52,2
32_Oceanview_7725,32,7725,MidnightMangoMist,750mL,9165,EnchantedElixir Emporium,8371,06/01/2016,12/01/2016,19/01/2016,24/02/2016,6.07,12,72.84,2
67_Willow Creek_7725,67,7725,MidnightMangoMist,750mL,9165,EnchantedElixir Emporium,8371,06/01/2016,14/01/2016,19/01/2016,24/02/2016,6.07,10,60.7,2
69_Serene Sands_7725,69,7725,MidnightMangoMist,750mL,9165,EnchantedElixir Emporium,8371,06/01/2016,14/01/2016,19/01/2016,24/02/2016,6.07,16,97.12,2
38_Willowfield_7725,38,7725,MidnightMangoMist,750mL,9165,EnchantedElixir Emporium,8371,06/01/2016,14/01/2016,19/01/2016,24/02/2016,6.07,24,145.68,2
51_Mountaincrest_33683,51,33683,FrothEuphoria,1.5L,1392,ZestZing Beverage Co.,8691,29/01/2016,05/02/2016,13/02/2016,16/03/2016,10.38,6,62.28,2
32_Oceanview_11213,32,11213,CitrusSilk,750mL,1392,ZestZing Beverage Co.,8691,29/01/2016,03/02/2016,13/02/2016,16/03/2016,12.66,23,291.18,2
16_Oakridge_33683,16,33683,FrothEuphoria,1.5L,1392,ZestZing Beverage Co.,8691,29/01/2016,05/02/2016,13/02/2016,16/03/2016,10.38,6,62.28,2
